,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,learning_rate,max_depth,max_features,min_samples_split,n_estimators
347,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,5,,0.01,linear,,,,,
346,SVM,0.25,0.5516666666666665,1.0,0.19978460623603833,5,,0.05,rbf,,,,,
345,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,5,,0.05,linear,,,,,
343,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,5,,0.1,linear,,,,,
341,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,5,,0.5,linear,,,,,
339,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,5,,1,linear,,,,,
337,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,1,,0.0001,linear,,,,,
335,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,1,,0.0005,linear,,,,,
334,SVM,0.3333333333333333,0.58,1.0,0.18749814813900312,1,,0.001,rbf,,,,,
363,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,10,,0.05,linear,,,,,
364,SVM,0.25,0.5516666666666665,1.0,0.19978460623603833,10,,0.05,rbf,,,,,
365,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,10,,0.01,linear,,,,,
366,SVM,0.3333333333333333,0.6016666666666667,1.0,0.20061710351368903,10,,0.01,rbf,,,,,
389,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,50,,0.0005,linear,,,,,
388,SVM,0.3333333333333333,0.6566666666666666,1.0,0.22201101073795618,50,,0.001,rbf,,,,,
387,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,50,,0.001,linear,,,,,
386,SVM,0.3333333333333333,0.6016666666666667,1.0,0.20061710351368903,50,,0.005,rbf,,,,,
385,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,50,,0.005,linear,,,,,
384,SVM,0.3333333333333333,0.6016666666666667,1.0,0.20061710351368903,50,,0.01,rbf,,,,,
383,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,50,,0.01,linear,,,,,
382,SVM,0.25,0.5516666666666665,1.0,0.19978460623603833,50,,0.05,rbf,,,,,
381,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,50,,0.05,linear,,,,,
379,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,50,,0.1,linear,,,,,
377,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,50,,0.5,linear,,,,,
375,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,50,,1,linear,,,,,
373,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,10,,0.0001,linear,,,,,
372,SVM,0.4,0.64,1.0,0.1709775813764288,10,,0.0005,rbf,,,,,
371,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,10,,0.0005,linear,,,,,
370,SVM,0.3333333333333333,0.615,1.0,0.22711353010235993,10,,0.001,rbf,,,,,
369,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,10,,0.001,linear,,,,,
368,SVM,0.3333333333333333,0.6016666666666667,1.0,0.20061710351368903,10,,0.005,rbf,,,,,
367,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,10,,0.005,linear,,,,,
190,RF,0.25,0.5783333333333334,1.0,0.21896854162692464,,False,,,,5,25,2,
446,SVM,0.3333333333333333,0.7300000000000001,1.0,0.2261759393824983,1000,,0.0001,rbf,,,,,
188,RF,0.25,0.6183333333333334,1.0,0.25314137464183045,,False,,,,5,20,7,
54,RF,0.3333333333333333,0.7016666666666668,1.0,0.1934267015923316,,True,,,,9,35,10,
121,RF,0.25,0.6900000000000001,1.0,0.23335714164249519,,True,,,,2,30,3,
50,RF,0.25,0.6900000000000001,1.0,0.17953644012660308,,True,,,,9,35,2,
120,RF,0.25,0.6566666666666666,1.0,0.20925794820959345,,True,,,,2,30,2,
51,RF,0.25,0.685,1.0,0.20942381271797467,,True,,,,9,35,3,
52,RF,0.25,0.685,1.0,0.20942381271797467,,True,,,,9,35,5,
53,RF,0.25,0.6900000000000001,1.0,0.17953644012660308,,True,,,,9,35,7,
57,RF,0.25,0.685,1.0,0.20942381271797467,,True,,,,9,40,5,
111,RF,0.25,0.5983333333333334,1.0,0.22894079778162932,,True,,,,2,20,3,
58,RF,0.25,0.6900000000000001,1.0,0.17953644012660308,,True,,,,9,40,7,
59,RF,0.25,0.71,1.0,0.24991109530302083,,True,,,,9,40,10,
60,RF,0.25,0.7016666666666667,1.0,0.24982771841588933,,True,,,,5,20,2,
61,RF,0.25,0.6116666666666667,1.0,0.2039948256424385,,True,,,,5,20,3,
114,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,True,,,,2,20,10,
63,RF,0.25,0.7150000000000001,1.0,0.20213444370847178,,True,,,,5,20,7,
122,RF,0.25,0.6900000000000001,1.0,0.23335714164249519,,True,,,,2,30,5,
48,RF,0.25,0.6900000000000001,1.0,0.23335714164249519,,True,,,,9,30,7,
47,RF,0.25,0.7100000000000001,1.0,0.2005824851110718,,True,,,,9,30,5,
46,RF,0.25,0.665,1.0,0.18670386534116892,,True,,,,9,30,3,
124,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,True,,,,2,30,10,
44,RF,0.25,0.6583333333333334,1.0,0.1877128421582048,,True,,,,9,25,10,
43,RF,0.25,0.665,1.0,0.23891537320891587,,True,,,,9,25,7,
127,RF,0.25,0.6566666666666667,1.0,0.20925794820959345,,True,,,,2,35,5,
128,RF,0.25,0.6566666666666667,1.0,0.20925794820959345,,True,,,,2,35,7,
42,RF,0.25,0.6516666666666666,1.0,0.2346924701722566,,True,,,,9,25,5,
130,RF,0.25,0.6566666666666666,1.0,0.20925794820959345,,True,,,,2,40,2,
131,RF,0.25,0.7033333333333334,1.0,0.18223915910448862,,True,,,,2,40,3,
40,RF,0.25,0.5983333333333334,1.0,0.22894079778162932,,True,,,,9,25,2,
39,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,True,,,,9,20,10,
134,RF,0.3333333333333333,0.6483333333333333,1.0,0.200201287597147,,True,,,,2,40,10,
135,RF,0.25,0.7100000000000001,1.0,0.2005824851110718,,True,,,,,20,2,
136,RF,0.25,0.6766666666666666,1.0,0.23048258550750036,,True,,,,,20,3,
112,RF,0.25,0.6566666666666666,1.0,0.20925794820959345,,True,,,,2,20,5,
66,RF,0.25,0.7233333333333334,1.0,0.20168732676541126,,True,,,,5,25,3,
33,AB,0.2,0.6516666666666666,1.0,0.2598557292037257,,,,,4.0,,,,250
92,RF,0.25,0.6766666666666666,1.0,0.23048258550750036,,True,,,,3,25,5,
76,RF,0.25,0.6516666666666666,1.0,0.2346924701722566,,True,,,,5,35,3,
77,RF,0.25,0.6433333333333333,1.0,0.25256462319352824,,True,,,,5,35,5,
97,RF,0.25,0.6900000000000001,1.0,0.17953644012660308,,True,,,,3,30,5,
96,RF,0.25,0.6433333333333333,1.0,0.25256462319352824,,True,,,,3,30,3,
