,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,learning_rate,max_depth,max_features,min_samples_split,n_estimators
161,RF,0.25,0.5516666666666667,1.0,0.22894079778162932,,False,,,,9,20,3,
178,RF,0.25,0.6183333333333334,1.0,0.2924465763177952,,False,,,,9,35,7,
170,RF,0.25,0.5933333333333334,1.0,0.24406283343980636,,False,,,,9,30,2,
177,RF,0.25,0.5850000000000001,1.0,0.21876547564305784,,False,,,,9,35,5,
176,RF,0.25,0.5516666666666667,1.0,0.19978460623603833,,False,,,,9,35,3,
175,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,9,35,2,
174,RF,0.25,0.5850000000000001,1.0,0.21232182072400274,,False,,,,9,30,10,
172,RF,0.25,0.6433333333333333,1.0,0.26969118141558385,,False,,,,9,30,5,
171,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,9,30,3,
169,RF,0.25,0.6183333333333334,1.0,0.2924465763177952,,False,,,,9,25,10,
162,RF,0.25,0.535,1.0,0.22601007843801027,,False,,,,9,20,5,
168,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,9,25,7,
167,RF,0.25,0.6183333333333334,1.0,0.2924465763177952,,False,,,,9,25,5,
166,RF,0.25,0.5933333333333334,1.0,0.2684523545560118,,False,,,,9,25,3,
165,RF,0.25,0.5933333333333334,1.0,0.2684523545560118,,False,,,,9,25,2,
164,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,9,20,10,
163,RF,0.25,0.5933333333333334,1.0,0.2908034846191955,,False,,,,9,20,7,
214,RF,0.25,0.5850000000000001,1.0,0.2399594873214134,,False,,,,3,20,10,
216,RF,0.25,0.6183333333333334,1.0,0.27023138233743316,,False,,,,3,25,3,
143,RF,0.25,0.5566666666666666,1.0,0.21359359124801056,,True,,,,,25,7,
262,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,,20,5,
268,RF,0.25,0.6433333333333333,1.0,0.224746771080501,,False,,,,,25,7,
267,RF,0.25,0.6183333333333334,1.0,0.2924465763177952,,False,,,,,25,5,
266,RF,0.25,0.5599999999999999,1.0,0.25972207367791356,,False,,,,,25,3,
265,RF,0.25,0.5599999999999999,1.0,0.25972207367791356,,False,,,,,25,2,
264,RF,0.25,0.6183333333333334,1.0,0.2924465763177952,,False,,,,,20,10,
263,RF,0.25,0.5766666666666668,1.0,0.20725722075613084,,False,,,,,20,7,
261,RF,0.25,0.5599999999999999,1.0,0.25972207367791356,,False,,,,,20,3,
270,RF,0.25,0.535,1.0,0.22601007843801027,,False,,,,,30,2,
