,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,criterion,gamma,kernel,learning_rate,max_depth,max_features,min_samples_split,n_estimators
1175,RF,0.4,0.56,0.6666666666666666,0.08793937305515279,,True,entropy,,,,15,20,40,
1174,RF,0.3333333333333333,0.5266666666666666,0.6666666666666666,0.1030641655582687,,True,entropy,,,,15,20,35,
1173,RF,0.3333333333333333,0.5466666666666666,0.6666666666666666,0.09568466729604881,,True,entropy,,,,15,20,30,
1166,RF,0.25,0.5016666666666667,0.6666666666666666,0.13259168735465868,,True,entropy,,,,15,20,3,
1165,RF,0.25,0.535,0.6666666666666666,0.12789970028633113,,True,entropy,,,,15,20,2,
1164,RF,0.3333333333333333,0.5266666666666666,0.6666666666666666,0.1030641655582687,,True,gini,,,,,100,40,
1163,RF,0.3333333333333333,0.5266666666666666,0.6666666666666666,0.1030641655582687,,True,gini,,,,,100,35,
1162,RF,0.3333333333333333,0.5466666666666666,0.6666666666666666,0.09568466729604881,,True,gini,,,,,100,30,
1155,RF,0.25,0.535,0.6666666666666666,0.12789970028633113,,True,gini,,,,,100,3,
1153,RF,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,,True,gini,,,,,90,40,
1152,RF,0.4,0.56,0.6666666666666666,0.08793937305515279,,True,gini,,,,,90,35,
1151,RF,0.3333333333333333,0.5466666666666666,0.6666666666666666,0.09568466729604881,,True,gini,,,,,90,30,
1142,RF,0.3333333333333333,0.5466666666666666,0.6666666666666666,0.09568466729604881,,True,gini,,,,,80,40,
734,RF,0.3333333333333333,0.5466666666666666,0.6666666666666666,0.09568466729604881,,True,gini,,,,5,40,35,
724,RF,0.3333333333333333,0.5266666666666666,0.6666666666666666,0.1030641655582687,,True,gini,,,,5,35,40,
723,RF,0.3333333333333333,0.4933333333333333,0.6666666666666666,0.10624918300339482,,True,gini,,,,5,35,35,
284,RF,0.3333333333333333,0.47333333333333333,0.6666666666666666,0.10306416555826871,,True,gini,,,,15,70,40,
317,RF,0.3333333333333333,0.4866666666666667,0.6666666666666666,0.10561986345169905,,True,gini,,,,15,100,40,
316,RF,0.3333333333333333,0.5266666666666667,0.6666666666666666,0.1030641655582687,,True,gini,,,,15,100,35,
315,RF,0.3333333333333333,0.5133333333333333,0.6666666666666666,0.10561986345169906,,True,gini,,,,15,100,30,
306,RF,0.3333333333333333,0.5266666666666666,0.6666666666666666,0.1030641655582687,,True,gini,,,,15,90,40,
305,RF,0.4,0.54,0.6666666666666666,0.09865765724632493,,True,gini,,,,15,90,35,
304,RF,0.3333333333333333,0.5266666666666667,0.6666666666666666,0.1030641655582687,,True,gini,,,,15,90,30,
295,RF,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,,True,gini,,,,15,80,40,
294,RF,0.3333333333333333,0.5266666666666667,0.6666666666666666,0.1030641655582687,,True,gini,,,,15,80,35,
293,RF,0.3333333333333333,0.5266666666666666,0.6666666666666666,0.1030641655582687,,True,gini,,,,15,80,30,
283,RF,0.3333333333333333,0.5466666666666666,0.6666666666666666,0.09568466729604881,,True,gini,,,,15,70,35,
722,RF,0.4,0.56,0.6666666666666666,0.08793937305515279,,True,gini,,,,5,35,30,
282,RF,0.3333333333333333,0.49333333333333335,0.6666666666666666,0.10624918300339484,,True,gini,,,,15,70,30,
273,RF,0.4,0.52,0.6666666666666666,0.10456258094238745,,True,gini,,,,15,60,40,
272,RF,0.3333333333333333,0.5133333333333333,0.6666666666666666,0.10561986345169906,,True,gini,,,,15,60,35,
271,RF,0.3333333333333333,0.5133333333333333,0.6666666666666666,0.10561986345169906,,True,gini,,,,15,60,30,
